	06:47 PM 08/06/2023
Dataset directory: ../../../xlsx_resources/for_trainings/Book5.xlsx
Scheduled Learning: True
Learning rate: 0.0002
Min learning rate 1e-06
Dropout: 0.1
Weight decay: 0.0001
Patience: 16
Number of running epochs: 4000
Validate after every 20th epoch
MSE Reduction: mean
Train-Validation-Test ratio: 0.65-0.2-0.15
Number of train - validation - test samples: 1428 - 439 - 332
Train batch size: 18
Validation batch size: 4
Max length token: 256
Model name: bert-base-uncased
Running log location: saved_logs/bert_based_uncased_run_logs/running_iteration_7.txt
Model location: saved_models/bert_based_uncased_models_iteration_7/
_______________________________________________________________________________________

Epoch [164/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [165/4000] Average train Loss: 0.1493	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [166/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [167/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [168/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [169/4000] Average train Loss: 0.1491	Average RMSE: 0.0004	Average MAE: 0.3628	Learning rate: 1e-06
Epoch [170/4000] Average train Loss: 0.1494	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 1e-06
Epoch [171/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [172/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [173/4000] Average train Loss: 0.1491	Average RMSE: 0.0004	Average MAE: 0.3628	Learning rate: 1e-06
Epoch [174/4000] Average train Loss: 0.1493	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [175/4000] Average train Loss: 0.1493	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [176/4000] Average train Loss: 0.1491	Average RMSE: 0.0004	Average MAE: 0.3628	Learning rate: 1e-06
Epoch [177/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [178/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [179/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3628	Learning rate: 1e-06
Epoch [180/4000] Average validation Loss: 0.1460	Average RMSE: 0.0004	Average MAE: 0.3598	Learning rate: 1e-06
Epoch [181/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3628	Learning rate: 1e-06
Epoch [182/4000] Average train Loss: 0.1491	Average RMSE: 0.0004	Average MAE: 0.3628	Learning rate: 1e-06
Epoch [183/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [184/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [185/4000] Average train Loss: 0.1493	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [186/4000] Average train Loss: 0.1491	Average RMSE: 0.0004	Average MAE: 0.3628	Learning rate: 1e-06
Epoch [187/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [188/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3628	Learning rate: 1e-06
Epoch [189/4000] Average train Loss: 0.1494	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 1e-06
